test accounts (by provider):, aol.com, delta.blinzeln.de, buzon.uy, disroot.org, fastmail.com, gmail.com, gmx.de, hotmail.com, icloud.com, ik.me, mail.de, mail.ru, mailo.com, mailbox.org, outlook.com, posteo.de, riseup.net, e.email, web.de, yahoo.com, yandex.ru, zohomail.eu
time for first configuration (in seconds):, 0.8902459144592285, 0.6323363780975342, 0.7770321369171143, 1.0549201965332031, 2.7141244411468506, 2.085667371749878, 0.6731641292572021, 1.8935439586639404, 3.9011857509613037, 0.7243831157684326, 4.0733702182769775, 1.9032533168792725, 0.9643721580505371, 0.9687318801879883, 1.3467059135437012, 0.7612674236297607, 3.129487991333008, 1.8197274208068848, 0.7731678485870361, 1.4429988861083984, 2.331155300140381, 4.785141944885254
time to login (in seconds):, 0.511652946472168, 0.2665715217590332, 0.3399972915649414, 0.5440361499786377, 0.7130143642425537, 1.2336575984954834, 0.317396879196167, 0.38335490226745605, 1.1147637367248535, 0.3380856513977051, 0.7589616775512695, 1.192014455795288, 0.3064281940460205, 0.4488227367401123, 0.47088050842285156, 0.5253207683563232, 1.6339282989501953, 0.3226749897003174, 0.2808876037597656, 0.47855067253112793, 0.47521519660949707, 0.290905237197876
