test accounts (by provider):, gmx.de, aol.com, ik.me, delta.blinzeln.de, buzon.uy, gmail.com, mail.de, mail.ru, fastmail.com, mailo.com, tiscali.it, x.testrun.org, icloud.com, testrun.org, posteo.de, web.de, outlook.com, e.email, lefherz.net, zohomail.eu, yahoo.com, yandex.ru, hotmail.com, disroot.org, mailbox.org, systemli.org, riseup.net
IMAP QUOTA:, Not Supported, Not Supported, 20.0GB, Server Error, Not Supported, 15.0GB, 2.0GB, Not Supported, 27.94GB, 1024.0MB, 10.0GB, 3.0GB, 5.0GB, Not Supported, 2.0GB, 1000.0MB, Not Supported, 1000.0MB, 1024.0MB, Not Supported, Not Supported, Not Supported, Not Supported, 1024.0MB, 10.0GB, 1024.0MB, 1000.0MB
CONDSTORE:, Not Supported, Not Supported, Supported, Supported, Supported, Supported, Supported, Not Supported, Supported, Not Supported, Not Supported, Supported, Supported, Supported, Supported, Not Supported, Not Supported, Supported, Supported, Supported, Not Supported, Not Supported, Not Supported, Supported, Supported, Supported, Supported
