domains:, gmx.de, delta.blinzeln.de, tiscali.it, x.testrun.org, posteo.de, ik.me, buzon.uy, aol.com, e.email, mail.de, testrun.org, yahoo.com, mailo.com, zohomail.eu, outlook.com, hotmail.com, fastmail.com, gmail.com, mail.ru, web.de, yandex.ru, icloud.com, disroot.org, mailbox.org, riseup.net, 
filesending:, 95.0, 76.0, 129.0, 71.0, 167.0, 143.0, 109.0, 83.0, 126.0, 133.0, 73.0, 88.0, 286.0, 101.0, 161.0, 148.0, 69.0, 67.0, 155.0, 175.0, 138.0, 115.0, 65.0, 63.0, 121.0, 
receiving:, 10.605616092681885, 3.8893909454345703, 9.334096431732178, 1.5669195652008057, 2.5373315811157227, 2.175173282623291, 4.824392557144165, timeout, 3.2908554077148438, 2.4029786586761475, 2.463761806488037, timeout, 31.579062700271606, 5.714999675750732, 2.6966569423675537, 3.4081573486328125, 7.749451160430908, 9.208771467208862, 1966.2321510314941, 1.912667989730835, 14.432806253433228, 745.5874698162079, 9.412791728973389, timeout, 7.427099704742432, 
groupadd:, 9.534287691116333, 10.153284549713135, 15.929190874099731, 7.159458637237549, 13.778859376907349, 8.97313642501831, 15.328396797180176, timeout, 9.90053653717041, 8.82530665397644, 8.815978050231934, timeout, 23.34720277786255, 12.206278085708618, 8.612846374511719, 11.222582817077637, 12.070294857025146, 10.943222045898438, 626.1009488105774, 10.707631826400757, 27.294748067855835, 34.48253345489502, 16.897440671920776, timeout, 13.182612657546997, 
gmx.de:, self, 22.320800065994263, timeout, 13.266498565673828, 7.593766689300537, timeout, 17.181914806365967, timeout, 10.60303783416748, 11.710695743560791, 11.605835914611816, timeout, 155.53689312934875, 95.5000958442688, 11.84012508392334, 9.300550699234009, 8.794791221618652, 9.593630313873291, 15.395193576812744, timeout, 16.0011944770813, 20.019779443740845, 26.420626640319824, timeout, 19.264140844345093, 
delta.blinzeln.de:, timeout, self, timeout, 5.342930316925049, 10.73853874206543, timeout, 10.662597179412842, timeout, 7.420527696609497, 13.811437368392944, 6.25027871131897, timeout, 146.9290566444397, 84.32840585708618, 7.971297264099121, 8.148342609405518, 12.7236967086792, 7.074542760848999, 14.812663316726685, timeout, 10.781664609909058, 12.062572479248047, 19.184852123260498, timeout, 17.985553979873657, 
tiscali.it:, 50.724786043167114, 43.070448875427246, self, 11.724039077758789, 15.786082983016968, timeout, 14.00861930847168, timeout, 14.212961912155151, 19.781285762786865, 12.793197393417358, timeout, 166.70217561721802, 178.77101492881775, 14.812530994415283, 12.912710189819336, 16.570362091064453, 12.82284164428711, 21.4968900680542, timeout, 16.671809911727905, 17.254101276397705, 25.37722396850586, timeout, 24.012662887573242, 
x.testrun.org:, 38.48576354980469, 39.996554374694824, timeout, self, 8.913515090942383, timeout, 7.615522861480713, timeout, 6.376450300216675, 12.225364446640015, 11.333992958068848, timeout, 124.41039562225342, 71.61697506904602, 11.550820350646973, 8.909187078475952, 8.6610746383667, 9.267088413238525, 12.99484372138977, 73.61961531639099, 12.877834558486938, 10.211225032806396, 18.218652725219727, timeout, 15.33147144317627, 
posteo.de:, 40.220611333847046, 29.824376821517944, timeout, 4.766622543334961, self, timeout, 7.524723052978516, timeout, 7.485148906707764, 13.911025047302246, 11.27873945236206, timeout, 157.0402274131775, 80.65323424339294, 5.896390199661255, 6.40772557258606, 10.650739192962646, 6.397008657455444, 16.234239101409912, 26.535398483276367, 9.666146755218506, 10.944260358810425, 19.768995761871338, timeout, 15.822700262069702, 
ik.me:, timeout, timeout, timeout, 3.6007473468780518, 8.488340854644775, self, 7.470692873001099, timeout, 6.7646918296813965, 12.329504489898682, 5.516411781311035, timeout, 147.09863805770874, 159.37897539138794, 5.740192174911499, 5.4246132373809814, 10.539460182189941, 5.631241798400879, 13.78416895866394, 12.867921590805054, 9.02462887763977, 10.541565418243408, 18.205097436904907, timeout, 17.112318754196167, 
buzon.uy:, timeout, 21.535315990447998, timeout, 6.041613578796387, 29.41620373725891, timeout, self, timeout, 10.461002349853516, 26.75538730621338, 8.978177070617676, timeout, 139.17840957641602, 28.425381183624268, 19.90449857711792, 13.650484800338745, 24.74162197113037, 22.201812744140625, 16.847729206085205, timeout, 15.871525287628174, 14.237281799316406, 22.125133752822876, timeout, 29.931489944458008, 
